GENESIS-Tabelle: 173-21-4
Bevölkerungsstand: Bevölkerung nach Geschlecht;;;;;
und Altersgruppen (17) - Stichtag 31.12. -;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Bevölkerungsstand (Anzahl);;;;;
2014-12-31;;;;;
;;;Total;männlich;weiblich
DG;Deutschland;unter 3 Jahre;2106703;1080894;1025809
DG;Deutschland;3 bis unter 6 Jahre;2067559;1060169;1007390
DG;Deutschland;6 bis unter 10 Jahre;2803627;1438841;1364786
DG;Deutschland;10 bis unter 15 Jahre;3708834;1903744;1805090
DG;Deutschland;15 bis unter 18 Jahre;2425297;1247112;1178185
DG;Deutschland;18 bis unter 20 Jahre;1641491;847541;793950
DG;Deutschland;20 bis unter 25 Jahre;4586328;2357904;2228424
DG;Deutschland;25 bis unter 30 Jahre;5166826;2652021;2514805
DG;Deutschland;30 bis unter 35 Jahre;5074081;2576055;2498026
DG;Deutschland;35 bis unter 40 Jahre;4758616;2399445;2359171
DG;Deutschland;40 bis unter 45 Jahre;5184279;2611144;2573135
DG;Deutschland;45 bis unter 50 Jahre;6722424;3404196;3318228
DG;Deutschland;50 bis unter 55 Jahre;6856652;3454804;3401848
DG;Deutschland;55 bis unter 60 Jahre;5853132;2915733;2937399
DG;Deutschland;60 bis unter 65 Jahre;5152977;2502129;2650848
DG;Deutschland;65 bis unter 75 Jahre;8435108;3985829;4449279
DG;Deutschland;75 Jahre und mehr;8653603;3397896;5255707
DG;Deutschland;Total;81197537;39835457;41362080
05;  Nordrhein-Westfalen;unter 3 Jahre;454254;233093;221161
05;  Nordrhein-Westfalen;3 bis unter 6 Jahre;446471;228933;217538
05;  Nordrhein-Westfalen;6 bis unter 10 Jahre;618170;317531;300639
05;  Nordrhein-Westfalen;10 bis unter 15 Jahre;838839;430856;407983
05;  Nordrhein-Westfalen;15 bis unter 18 Jahre;560560;287995;272565
05;  Nordrhein-Westfalen;18 bis unter 20 Jahre;385988;199381;186607
05;  Nordrhein-Westfalen;20 bis unter 25 Jahre;1055064;541027;514037
05;  Nordrhein-Westfalen;25 bis unter 30 Jahre;1089777;554462;535315
05;  Nordrhein-Westfalen;30 bis unter 35 Jahre;1060255;531735;528520
05;  Nordrhein-Westfalen;35 bis unter 40 Jahre;1011193;501666;509527
05;  Nordrhein-Westfalen;40 bis unter 45 Jahre;1130345;562014;568331
05;  Nordrhein-Westfalen;45 bis unter 50 Jahre;1495458;752562;742896
05;  Nordrhein-Westfalen;50 bis unter 55 Jahre;1485469;745553;739916
05;  Nordrhein-Westfalen;55 bis unter 60 Jahre;1273930;631737;642193
05;  Nordrhein-Westfalen;60 bis unter 65 Jahre;1084416;523175;561241
05;  Nordrhein-Westfalen;65 bis unter 75 Jahre;1772233;830909;941324
05;  Nordrhein-Westfalen;75 Jahre und mehr;1875676;733374;1142302
05;  Nordrhein-Westfalen;Total;17638098;8606003;9032095
051;    Düsseldorf, Regierungsbezirk;unter 3 Jahre;130620;66971;63649
051;    Düsseldorf, Regierungsbezirk;3 bis unter 6 Jahre;127891;65338;62553
051;    Düsseldorf, Regierungsbezirk;6 bis unter 10 Jahre;175700;89823;85877
051;    Düsseldorf, Regierungsbezirk;10 bis unter 15 Jahre;232840;119258;113582
051;    Düsseldorf, Regierungsbezirk;15 bis unter 18 Jahre;152787;78493;74294
051;    Düsseldorf, Regierungsbezirk;18 bis unter 20 Jahre;104911;53763;51148
051;    Düsseldorf, Regierungsbezirk;20 bis unter 25 Jahre;288825;146263;142562
051;    Düsseldorf, Regierungsbezirk;25 bis unter 30 Jahre;310376;155488;154888
051;    Düsseldorf, Regierungsbezirk;30 bis unter 35 Jahre;308122;153685;154437
051;    Düsseldorf, Regierungsbezirk;35 bis unter 40 Jahre;293675;145167;148508
051;    Düsseldorf, Regierungsbezirk;40 bis unter 45 Jahre;327534;162969;164565
051;    Düsseldorf, Regierungsbezirk;45 bis unter 50 Jahre;435811;219404;216407
051;    Düsseldorf, Regierungsbezirk;50 bis unter 55 Jahre;432602;217123;215479
051;    Düsseldorf, Regierungsbezirk;55 bis unter 60 Jahre;371035;183300;187735
051;    Düsseldorf, Regierungsbezirk;60 bis unter 65 Jahre;317492;152122;165370
051;    Düsseldorf, Regierungsbezirk;65 bis unter 75 Jahre;536086;248624;287462
051;    Düsseldorf, Regierungsbezirk;75 Jahre und mehr;561983;219496;342487
051;    Düsseldorf, Regierungsbezirk;Total;5108290;2477287;2631003
05111;      Düsseldorf, Kreisfreie Stadt;unter 3 Jahre;17937;9202;8735
05111;      Düsseldorf, Kreisfreie Stadt;3 bis unter 6 Jahre;16327;8347;7980
05111;      Düsseldorf, Kreisfreie Stadt;6 bis unter 10 Jahre;20480;10501;9979
05111;      Düsseldorf, Kreisfreie Stadt;10 bis unter 15 Jahre;23895;12321;11574
05111;      Düsseldorf, Kreisfreie Stadt;15 bis unter 18 Jahre;14329;7355;6974
05111;      Düsseldorf, Kreisfreie Stadt;18 bis unter 20 Jahre;10142;5070;5072
05111;      Düsseldorf, Kreisfreie Stadt;20 bis unter 25 Jahre;33762;15730;18032
05111;      Düsseldorf, Kreisfreie Stadt;25 bis unter 30 Jahre;46457;21863;24594
05111;      Düsseldorf, Kreisfreie Stadt;30 bis unter 35 Jahre;49052;24055;24997
05111;      Düsseldorf, Kreisfreie Stadt;35 bis unter 40 Jahre;43162;21761;21401
05111;      Düsseldorf, Kreisfreie Stadt;40 bis unter 45 Jahre;42669;21869;20800
05111;      Düsseldorf, Kreisfreie Stadt;45 bis unter 50 Jahre;50181;26000;24181
05111;      Düsseldorf, Kreisfreie Stadt;50 bis unter 55 Jahre;46242;23415;22827
05111;      Düsseldorf, Kreisfreie Stadt;55 bis unter 60 Jahre;37955;18503;19452
05111;      Düsseldorf, Kreisfreie Stadt;60 bis unter 65 Jahre;32738;15366;17372
05111;      Düsseldorf, Kreisfreie Stadt;65 bis unter 75 Jahre;58959;26685;32274
05111;      Düsseldorf, Kreisfreie Stadt;75 Jahre und mehr;60240;23156;37084
05111;      Düsseldorf, Kreisfreie Stadt;Total;604527;291199;313328
05112;      Duisburg, Kreisfreie Stadt;unter 3 Jahre;12667;6461;6206
05112;      Duisburg, Kreisfreie Stadt;3 bis unter 6 Jahre;12520;6396;6124
05112;      Duisburg, Kreisfreie Stadt;6 bis unter 10 Jahre;16848;8684;8164
05112;      Duisburg, Kreisfreie Stadt;10 bis unter 15 Jahre;22585;11545;11040
05112;      Duisburg, Kreisfreie Stadt;15 bis unter 18 Jahre;14825;7719;7106
05112;      Duisburg, Kreisfreie Stadt;18 bis unter 20 Jahre;10235;5195;5040
05112;      Duisburg, Kreisfreie Stadt;20 bis unter 25 Jahre;30399;15653;14746
05112;      Duisburg, Kreisfreie Stadt;25 bis unter 30 Jahre;31565;16000;15565
05112;      Duisburg, Kreisfreie Stadt;30 bis unter 35 Jahre;29594;15076;14518
05112;      Duisburg, Kreisfreie Stadt;35 bis unter 40 Jahre;28553;14273;14280
05112;      Duisburg, Kreisfreie Stadt;40 bis unter 45 Jahre;31498;15784;15714
05112;      Duisburg, Kreisfreie Stadt;45 bis unter 50 Jahre;39066;20078;18988
05112;      Duisburg, Kreisfreie Stadt;50 bis unter 55 Jahre;39338;20052;19286
05112;      Duisburg, Kreisfreie Stadt;55 bis unter 60 Jahre;34410;17238;17172
05112;      Duisburg, Kreisfreie Stadt;60 bis unter 65 Jahre;29457;14124;15333
05112;      Duisburg, Kreisfreie Stadt;65 bis unter 75 Jahre;47678;22093;25585
05112;      Duisburg, Kreisfreie Stadt;75 Jahre und mehr;54227;20890;33337
05112;      Duisburg, Kreisfreie Stadt;Total;485465;237261;248204
05113;      Essen, Kreisfreie Stadt;unter 3 Jahre;14854;7600;7254
05113;      Essen, Kreisfreie Stadt;3 bis unter 6 Jahre;13873;7059;6814
05113;      Essen, Kreisfreie Stadt;6 bis unter 10 Jahre;19040;9824;9216
05113;      Essen, Kreisfreie Stadt;10 bis unter 15 Jahre;24035;12295;11740
05113;      Essen, Kreisfreie Stadt;15 bis unter 18 Jahre;15502;8106;7396
05113;      Essen, Kreisfreie Stadt;18 bis unter 20 Jahre;11212;5622;5590
05113;      Essen, Kreisfreie Stadt;20 bis unter 25 Jahre;36021;17703;18318
05113;      Essen, Kreisfreie Stadt;25 bis unter 30 Jahre;40063;19825;20238
05113;      Essen, Kreisfreie Stadt;30 bis unter 35 Jahre;37787;19095;18692
05113;      Essen, Kreisfreie Stadt;35 bis unter 40 Jahre;33793;16975;16818
05113;      Essen, Kreisfreie Stadt;40 bis unter 45 Jahre;35869;18074;17795
05113;      Essen, Kreisfreie Stadt;45 bis unter 50 Jahre;45508;23184;22324
05113;      Essen, Kreisfreie Stadt;50 bis unter 55 Jahre;45045;22577;22468
05113;      Essen, Kreisfreie Stadt;55 bis unter 60 Jahre;40377;19707;20670
05113;      Essen, Kreisfreie Stadt;60 bis unter 65 Jahre;35479;16977;18502
05113;      Essen, Kreisfreie Stadt;65 bis unter 75 Jahre;59771;27461;32310
05113;      Essen, Kreisfreie Stadt;75 Jahre und mehr;65555;24378;41177
05113;      Essen, Kreisfreie Stadt;Total;573784;276462;297322
05114;      Krefeld, Kreisfreie Stadt;unter 3 Jahre;5513;2840;2673
05114;      Krefeld, Kreisfreie Stadt;3 bis unter 6 Jahre;5511;2862;2649
05114;      Krefeld, Kreisfreie Stadt;6 bis unter 10 Jahre;7695;3954;3741
05114;      Krefeld, Kreisfreie Stadt;10 bis unter 15 Jahre;10374;5344;5030
05114;      Krefeld, Kreisfreie Stadt;15 bis unter 18 Jahre;6786;3466;3320
05114;      Krefeld, Kreisfreie Stadt;18 bis unter 20 Jahre;4659;2363;2296
05114;      Krefeld, Kreisfreie Stadt;20 bis unter 25 Jahre;12621;6343;6278
05114;      Krefeld, Kreisfreie Stadt;25 bis unter 30 Jahre;13405;6886;6519
05114;      Krefeld, Kreisfreie Stadt;30 bis unter 35 Jahre;12708;6328;6380
05114;      Krefeld, Kreisfreie Stadt;35 bis unter 40 Jahre;12353;6036;6317
05114;      Krefeld, Kreisfreie Stadt;40 bis unter 45 Jahre;14058;6936;7122
05114;      Krefeld, Kreisfreie Stadt;45 bis unter 50 Jahre;19200;9612;9588
05114;      Krefeld, Kreisfreie Stadt;50 bis unter 55 Jahre;18634;9417;9217
05114;      Krefeld, Kreisfreie Stadt;55 bis unter 60 Jahre;16284;8053;8231
05114;      Krefeld, Kreisfreie Stadt;60 bis unter 65 Jahre;13674;6392;7282
05114;      Krefeld, Kreisfreie Stadt;65 bis unter 75 Jahre;24147;11070;13077
05114;      Krefeld, Kreisfreie Stadt;75 Jahre und mehr;24878;9646;15232
05114;      Krefeld, Kreisfreie Stadt;Total;222500;107548;114952
05116;      Mönchengladbach, Kreisfreie Stadt;unter 3 Jahre;6586;3378;3208
05116;      Mönchengladbach, Kreisfreie Stadt;3 bis unter 6 Jahre;6239;3191;3048
05116;      Mönchengladbach, Kreisfreie Stadt;6 bis unter 10 Jahre;8699;4531;4168
05116;      Mönchengladbach, Kreisfreie Stadt;10 bis unter 15 Jahre;11968;6087;5881
05116;      Mönchengladbach, Kreisfreie Stadt;15 bis unter 18 Jahre;7919;4032;3887
05116;      Mönchengladbach, Kreisfreie Stadt;18 bis unter 20 Jahre;5562;2852;2710
05116;      Mönchengladbach, Kreisfreie Stadt;20 bis unter 25 Jahre;15875;7927;7948
05116;      Mönchengladbach, Kreisfreie Stadt;25 bis unter 30 Jahre;16973;8653;8320
05116;      Mönchengladbach, Kreisfreie Stadt;30 bis unter 35 Jahre;15379;7879;7500
05116;      Mönchengladbach, Kreisfreie Stadt;35 bis unter 40 Jahre;14160;6949;7211
05116;      Mönchengladbach, Kreisfreie Stadt;40 bis unter 45 Jahre;15723;7836;7887
05116;      Mönchengladbach, Kreisfreie Stadt;45 bis unter 50 Jahre;21233;10881;10352
05116;      Mönchengladbach, Kreisfreie Stadt;50 bis unter 55 Jahre;21907;10969;10938
05116;      Mönchengladbach, Kreisfreie Stadt;55 bis unter 60 Jahre;19152;9452;9700
05116;      Mönchengladbach, Kreisfreie Stadt;60 bis unter 65 Jahre;16161;7850;8311
